Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
01289;Péronnas;22940;65.4
01290;Pérouges;26580;N/A
01291;Perrex;23110;N/A
01293;Peyriat;25910;N/A
01294;Peyrieu;22000;N/A
01295;Peyzieux-sur-Saône;23180;N/A
01296;Pirajoux;22220;N/A
01297;Pizay;26740;N/A
01298;Plagne;28870;N/A
01299;Le Plantay;24300;N/A
01301;Polliat;23740;72.3
01302;Pollieu;24990;N/A
01303;Poncin;21090;N/A
01304;Pont-d'Ain;21970;77.8
01305;Pont-de-Vaux;19450;61.9
01306;Pont-de-Veyle;20490;N/A
01307;Port;21420;N/A
01308;Pougny;35930;N/A
01309;Pouillat;N/A;N/A
01310;Prémeyzel;22270;N/A
01311;Prémillieu;N/A;N/A
01313;Prévessin-Moëns;40210;92
01314;Priay;22620;N/A
01317;Ramasse;23710;N/A
01318;Rancé;27590;N/A
01319;Relevant;25150;N/A
01320;Replonges;23450;73.8
01321;Revonnas;26280;N/A
01322;Reyrieux;27270;80.8
01323;Reyssouze;22200;N/A
01325;Rignieux-le-Franc;24810;N/A
01328;Romans;23610;N/A
01329;Rossillon;19280;N/A
01330;Ruffieu;21470;N/A
01331;Saint-Alban;23950;N/A
01332;Saint-André-de-Bâgé;23570;N/A
01333;Saint-André-de-Corcy;25670;76
01334;Saint-André-d'Huiriat;23530;N/A
01335;Saint-André-le-Bouchoux;22100;N/A
01336;Saint-André-sur-Vieux-Jonc;22560;N/A
01337;Saint-Bénigne;22170;N/A
01338;Groslée-Saint-Benoit;21240;N/A
01339;Saint-Bernard;30470;N/A
01342;Sainte-Croix;28120;N/A
01343;Saint-Cyr-sur-Menthon;22570;N/A
01344;Saint-Denis-lès-Bourg;24280;67.2
01345;Saint-Denis-en-Bugey;22440;71.2
01346;Saint-Didier-d'Aussiat;22250;N/A
01347;Saint-Didier-de-Formans;27210;80.8
01348;Saint-Didier-sur-Chalaronne;22790;73.4
01349;Saint-Éloi;26130;N/A
01350;Saint-Étienne-du-Bois;23480;70.9
01351;Saint-Étienne-sur-Chalaronne;22370;N/A
01352;Saint-Étienne-sur-Reyssouze;20650;N/A
01353;Sainte-Euphémie;26160;N/A
01354;Saint-Genis-Pouilly;29460;89.6
01355;Saint-Genis-sur-Menthon;22510;N/A
01356;Saint-Georges-sur-Renon;24240;N/A
01357;Saint-Germain-de-Joux;20570;N/A
01358;Saint-Germain-les-Paroisses;22370;N/A
01359;Saint-Germain-sur-Renon;26320;N/A
01360;Saint-Jean-de-Gonville;37260;N/A
01361;Saint-Jean-de-Niost;27250;N/A
01362;Saint-Jean-de-Thurigneux;27310;N/A
01363;Saint-Jean-le-Vieux;22970;N/A
01364;Saint-Jean-sur-Reyssouze;22080;N/A
01365;Saint-Jean-sur-Veyle;23810;N/A
